Sample,Location,Analyte,Element,Wavelength,ICPsignal,ICPsignal_error,NOMINAL_CONCENTRATIONS
Blank,1,Al 308.215,Al,308.215,2484.89,11.5,0.00
Blank,1,Al 396.152,Al,396.152,862.22,49.76,0.00
Blank,1,Be 313.042,Be,313.042,1169.5,24.43,0.00
Blank,1,Be 313.107,Be,313.107,-3.23,21.84,0.00
Blank,1,Ca 315.887,Ca,315.887,112.72,10.7,0.00
Blank,1,Ca 317.933,Ca,317.933,919.54,11.24,0.00
Blank,1,Fe 238.204,Fe,238.204,65.82,6.47,0.00
Blank,1,Fe 239.563,Fe,239.563,12.35,5.15,0.00
Blank,1,K 404.721,K,404.721,40.86,16.99,0.00
Blank,1,K 766.491,K,766.491,321.92,27.98,0.00
Blank,1,Ti 334.941,Ti,334.941,518.26,8.92,0.00
Blank,1,Ti 336.122,Ti,336.122,351.79,16.9,0.00
Blank,1,Ti 336.122,Ti,336.122,351.79,16.9,0.00
Standard 1,2,Al 308.215,Al,308.215,12983.54,114.67,0.98
Standard 1,2,Al 396.152,Al,396.152,57549.21,707.19,0.98
Standard 1,2,Be 313.042,Be,313.042,2744526.01,26899.07,0.98
Standard 1,2,Be 313.107,Be,313.107,1349739.08,11671.27,0.98
Standard 1,2,Ca 315.887,Ca,315.887,9422.15,27.34,0.98
Standard 1,2,Ca 317.933,Ca,317.933,34166.09,63.31,0.98
Standard 1,2,Fe 238.204,Fe,238.204,46748.63,166.58,0.98
Standard 1,2,Fe 239.563,Fe,239.563,5715.46,33.76,0.98
Standard 1,2,K 404.721,K,404.721,36.99,5.25,0.99
Standard 1,2,K 766.491,K,766.491,NaN,NaN,0.99
Standard 1,2,Ti 334.941,Ti,334.941,313187.72,423.58,0.99
Standard 1,2,Ti 336.122,Ti,336.122,158196.49,335.97,0.99
Standard 1,2,Ti 336.122,Ti,336.122,158196.49,335.97,0.99
Standard 2,3,Al 308.215,Al,308.215,55725.98,325.51,4.96
Standard 2,3,Al 396.152,Al,396.152,290387.24,2239.85,4.96
Standard 2,3,Be 313.042,Be,313.042,13080113.02,48715.05,4.95
Standard 2,3,Be 313.107,Be,313.107,6607266.04,31069.59,4.95
Standard 2,3,Ca 315.887,Ca,315.887,46778.92,168.23,4.92
Standard 2,3,Ca 317.933,Ca,317.933,163841.76,688.85,4.92
Standard 2,3,Fe 238.204,Fe,238.204,226818.09,430.45,4.92
Standard 2,3,Fe 239.563,Fe,239.563,27622.23,95.12,4.92
Standard 2,3,K 404.721,K,404.721,66.42,21.97,4.98
Standard 2,3,K 766.491,K,766.491,410168.24,3167.78,4.98
Standard 2,3,Ti 334.941,Ti,334.941,1531264.38,9419.64,4.98
Standard 2,3,Ti 336.122,Ti,336.122,773900.4,4729.87,4.98
Standard 2,3,Ti 336.122,Ti,336.122,773900.4,4729.87,4.98
Standard 3,4,Al 308.215,Al,308.215,103066.4,908.16,9.39
Standard 3,4,Al 396.152,Al,396.152,545954.5,4211.21,9.39
Standard 3,4,Be 313.042,Be,313.042,23076777.42,351319.32,9.37
Standard 3,4,Be 313.107,Be,313.107,11907592.02,177097.72,9.37
Standard 3,4,Ca 315.887,Ca,315.887,86511.66,272.98,9.31
Standard 3,4,Ca 317.933,Ca,317.933,304091.95,1011.38,9.31
Standard 3,4,Fe 238.204,Fe,238.204,417809.2,1017.67,9.31
Standard 3,4,Fe 239.563,Fe,239.563,50986.74,143.45,9.31
Standard 3,4,K 404.721,K,404.721,198.05,20.31,9.42
Standard 3,4,K 766.491,K,766.491,844833.47,9693.68,9.42
Standard 3,4,Ti 334.941,Ti,334.941,2845247.7,23559.78,9.42
Standard 3,4,Ti 336.122,Ti,336.122,1437520.11,10228.96,9.42
Standard 3,4,Ti 336.122,Ti,336.122,1437520.11,10228.96,9.42
Standard 4,5,Al 308.215,Al,308.215,214769.89,2359.85,19.92
Standard 4,5,Al 396.152,Al,396.152,1172364.05,21543.08,19.92
Standard 4,5,Be 313.042,Be,313.042,NaN,NaN,19.87
Standard 4,5,Be 313.107,Be,313.107,NaN,NaN,19.87
Standard 4,5,Ca 315.887,Ca,315.887,176649.87,195.26,19.76
Standard 4,5,Ca 317.933,Ca,317.933,614501.05,2578.91,19.76
Standard 4,5,Fe 238.204,Fe,238.204,832621.35,5116.29,19.75
Standard 4,5,Fe 239.563,Fe,239.563,102658.2,239.89,19.75
Standard 4,5,K 404.721,K,404.721,481.3,48.02,19.98
Standard 4,5,K 766.491,K,766.491,1952104.83,15109.84,19.98
Standard 4,5,Ti 334.941,Ti,334.941,5726585.87,71410.66,19.99
Standard 4,5,Ti 336.122,Ti,336.122,2926151.05,20249.13,19.99
Standard 4,5,Ti 336.122,Ti,336.122,2926151.05,20249.13,19.99
SR1,6,Al 308.215,Al,308.215,69857.51,393.87,
SR1,6,Al 396.152,Al,396.152,367258.64,3423.53,
SR1,6,Be 313.042,Be,313.042,2684593.98,20469.85,
SR1,6,Be 313.107,Be,313.107,1317349.8,11097.53,
SR1,6,Ca 315.887,Ca,315.887,7341.38,37.03,
SR1,6,Ca 317.933,Ca,317.933,27273.22,152.99,
SR1,6,Fe 238.204,Fe,238.204,2721.41,18.38,
SR1,6,Fe 239.563,Fe,239.563,336.85,9.51,
SR1,6,K 404.721,K,404.721,30.92,15.77,
SR1,6,K 766.491,K,766.491,6932.43,41.98,
SR1,6,Ti 334.941,Ti,334.941,195962.64,107.94,
SR1,6,Ti 336.122,Ti,336.122,98534.94,143.7,
SR1,6,Ti 336.122,Ti,336.122,98534.94,143.7,
SR2,7,Al 308.215,Al,308.215,61623.65,348.42,
SR2,7,Al 396.152,Al,396.152,321293.88,2511.07,
SR2,7,Be 313.042,Be,313.042,3071128.4,74832.54,
SR2,7,Be 313.107,Be,313.107,1508233.15,37418.5,
SR2,7,Ca 315.887,Ca,315.887,3664.34,25.15,
SR2,7,Ca 317.933,Ca,317.933,14178.71,36.72,
SR2,7,Fe 238.204,Fe,238.204,3682.54,35.38,
SR2,7,Fe 239.563,Fe,239.563,453.32,2.38,
SR2,7,K 404.721,K,404.721,9.12,7.5,
SR2,7,K 766.491,K,766.491,12827.46,28.2,
SR2,7,Ti 334.941,Ti,334.941,211826.24,802.38,
SR2,7,Ti 336.122,Ti,336.122,106371.56,331.59,
SR2,7,Ti 336.122,Ti,336.122,106371.56,331.59,
SR3,8,Al 308.215,Al,308.215,341327.93,4558.9,
SR3,8,Al 396.152,Al,396.152,1836859.33,30748.47,
SR3,8,Be 313.042,Be,313.042,3046593.78,54063.82,
SR3,8,Be 313.107,Be,313.107,1497022.8,24841.08,
SR3,8,Ca 315.887,Ca,315.887,7124.77,18.92,
SR3,8,Ca 317.933,Ca,317.933,26142.14,103.95,
SR3,8,Fe 238.204,Fe,238.204,3530.04,26.48,
SR3,8,Fe 239.563,Fe,239.563,431.72,2.65,
SR3,8,K 404.721,K,404.721,38.77,1.67,
SR3,8,K 766.491,K,766.491,81871.21,756.58,
SR3,8,Ti 334.941,Ti,334.941,9147.51,77.53,
SR3,8,Ti 336.122,Ti,336.122,4692.48,18.67,
SR3,8,Ti 336.122,Ti,336.122,4692.48,18.67,
SR4,9,Al 308.215,Al,308.215,95461.93,721.94,
SR4,9,Al 396.152,Al,396.152,505570.8,4368.46,
SR4,9,Be 313.042,Be,313.042,3022952.27,9387.68,
SR4,9,Be 313.107,Be,313.107,1484554.44,4739.51,
SR4,9,Ca 315.887,Ca,315.887,11171.99,54.31,
SR4,9,Ca 317.933,Ca,317.933,40573.91,231,
SR4,9,Fe 238.204,Fe,238.204,10599.23,58.5,
SR4,9,Fe 239.563,Fe,239.563,1285.85,4.34,
SR4,9,K 404.721,K,404.721,39.81,23.02,
SR4,9,K 766.491,K,766.491,23702.69,97.62,
SR4,9,Ti 334.941,Ti,334.941,29153.92,74.25,
SR4,9,Ti 336.122,Ti,336.122,14740.96,67.2,
SR4,9,Ti 336.122,Ti,336.122,14740.96,67.2,
SR5,10,Al 308.215,Al,308.215,155310.03,1170.46,
SR5,10,Al 396.152,Al,396.152,837286.41,11967.7,
SR5,10,Be 313.042,Be,313.042,2928645.7,32587.7,
